simulation_time,latitude,longitude,altitude,speed,battery,heading,target_heading,heading_difference,flight_state,flight_mode,current_waypoint,distance_to_waypoint
99.0,50.21146567108615,-5.474637614720041,180,15.0,94.90000000000028,103.25985626948989,117.63222923518954,24.37237296569964,CRUISE,TURNING,2,597.5276417096626
100.0,50.211412305963854,-5.47451346292396,180,15.0,94.85000000000028,113.25985626948989,117.99814684217615,14.738290572686253,CRUISE,TURNING,2,583.008986814491
101.0,50.21134860760909,-5.474394282286488,180,15.0,94.80000000000028,118.12312171880009,118.12312171880009,4.863265449310205,CRUISE,TURNING,2,568.0616020813906
102.0,50.211284909254324,-5.474275101649016,180,15.0,94.75000000000028,118.12312171879925,118.12312171879925,-8.526512829121202e-13,CRUISE,STRAIGHT,2,553.061602081399
103.0,50.21122121089956,-5.474155921011544,180,15.0,94.70000000000029,118.12312171879839,118.12312171879839,-8.526512829121202e-13,CRUISE,STRAIGHT,2,538.0616020814074
104.0,50.211157512544794,-5.474036740374072,180,15.0,94.65000000000029,118.12312171879748,118.12312171879748,-9.094947017729282e-13,CRUISE,STRAIGHT,2,523.0616020814158
105.0,50.21109381419003,-5.4739175597366,180,15.0,94.60000000000029,118.12312171879651,118.12312171879651,-9.663381206337363e-13,CRUISE,STRAIGHT,2,508.06160208142416
106.0,50.211030115835264,-5.4737983790991285,180,15.0,94.5500000000003,118.12312171879546,118.12312171879546,-1.0516032489249483e-12,CRUISE,STRAIGHT,2,493.0616020814325
107.0,50.2109664174805,-5.473679198461657,180,15.0,94.5000000000003,118.12312171879437,118.12312171879437,-1.0800249583553523e-12,CRUISE,STRAIGHT,2,478.0616020814409
108.0,50.210902719125734,-5.473560017824185,180,15.0,94.4500000000003,118.1231217187932,118.1231217187932,-1.1652900866465643e-12,CRUISE,STRAIGHT,2,463.06160208144934
109.0,50.21083902077097,-5.473440837186713,180,15.0,94.4000000000003,118.12312171879195,118.12312171879195,-1.2505552149377763e-12,CRUISE,STRAIGHT,2,448.0616020814577
